查询词,排名,相似词,相似度
春,1,花,0.7370873093605042
春,2,春才,0.7348122000694275
春,3,海棠,0.7290662527084351
春,4,暮,0.7234630584716797
春,5,春色,0.716280460357666
春,6,春光,0.7057275772094727
春,7,风雨,0.6992524862289429
春,8,春欲,0.6991117596626282
春,9,小寒,0.695138156414032
春,10,年华,0.670510470867157
月,1,明月,0.7289252281188965
月,2,高露,0.6913955807685852
月,3,四条,0.6733439564704895
月,4,江,0.6683942675590515
月,5,疏影,0.6627152562141418
月,6,翠影,0.6460652947425842
月,7,棂,0.6413710713386536
月,8,新月,0.639940619468689
月,9,皎,0.6329785585403442
月,10,滩,0.6328673958778381
花,1,海棠,0.8347181677818298
花,2,小寒,0.822864830493927
花,3,风,0.8204457759857178
花,4,莺,0.8151730895042419
花,5,梨花,0.8143419623374939
花,6,花讯,0.8016068935394287
花,7,枝上,0.7979496717453003
花,8,轻寒,0.7972677946090698
花,9,秋千,0.7961347699165344
花,10,残春,0.7949232459068298
人,1,犹,0.7485774159431458
人,2,望人,0.7348683476448059
人,3,只,0.7278438210487366
人,4,家,0.7143781185150146
人,5,乘云,0.7039662003517151
人,6,汪,0.6965950131416321
人,7,神霄,0.6952879428863525
人,8,人约,0.6738531589508057
人,9,人疑,0.6708328127861023
人,10,一心,0.6698853969573975
风,1,梨花,0.9181674718856812
风,2,乍,0.9134742617607117
风,3,萧萧,0.9076287746429443
风,4,帘外,0.9064489006996155
风,5,檐,0.9025165438652039
风,6,雨初,0.9007272124290466
风,7,风吹,0.8990018963813782
风,8,余风,0.8978366851806641
风,9,秋千,0.8965792059898376
风,10,棠梨,0.8935680985450745
水,1,暮云,0.923557460308075
水,2,横,0.922244668006897
水,3,暮涛,0.9176716804504395
水,4,修眉横,0.9160341024398804
水,5,烟水,0.9115472435951233
水,6,画桥,0.9057401418685913
水,7,隐隐,0.9054242372512817
水,8,远山,0.9000610709190369
水,9,秋水,0.8992679715156555
水,10,连天,0.8984774351119995
