# 总词数: 606322
# 词汇表大小: 596859
# 格式: 词语	频次	频率
#==================================================
点 绛 唇	301	0.000496
了 后行 吹	48	0.000079
桃源 忆 故人	40	0.000066
多 减字 木兰花	33	0.000054
与 谁 同	30	0.000049
唱 了 后行	25	0.000041
之名 从此 有	22	0.000036
谒 金门 春	19	0.000031
后行 吹 渔家傲	19	0.000031
凭 谁 说	18	0.000030
谁 得 似	16	0.000026
谁 念 我	16	0.000026
无 觅 处	15	0.000025
念 了 后行	15	0.000025
望江南 家山 好	14	0.000023
后行 吹 三台	13	0.000021
年 年 好	12	0.000020
春 将 暮	12	0.000020
绛 都 春	12	0.000020
花瓶 又 舞上	12	0.000020
菩萨 蛮 人间	12	0.000020
蒹 葭 浦	11	0.000018
都 过 了	11	0.000018
芳草 萋 萋	11	0.000018
三 更 月	11	0.000018
何处 难忘 酒	11	0.000018
琴调 相思 引	11	0.000018
望江南 西源 好	11	0.000018
从此 有 念	11	0.000018
有 念 了	11	0.000018
念 了 舞	11	0.000018
了 舞 唱	11	0.000018
舞 唱 蝶恋花	11	0.000018
唱 蝶恋花 侍女	11	0.000018
蝶恋花 侍女 持酒果	11	0.000018
侍女 持酒果 上	11	0.000018
持酒果 上 劝客	11	0.000018
上 劝客 饮酒	11	0.000018
从此 有 多谢	11	0.000018
有 多谢 风流	11	0.000018
多谢 风流 飞驭	11	0.000018
风流 飞驭 陪	11	0.000018
飞驭 陪 尊酒	11	0.000018
陪 尊酒 持此	11	0.000018
尊酒 持此 一	11	0.000018
持此 一 卮	11	0.000018
一 卮 同	11	0.000018
卮 同 劝	11	0.000018
同 劝 后	11	0.000018
劝 后 愿花长	11	0.000018
后 愿花长 在	11	0.000018
愿花长 在 人	11	0.000018
在 人 长寿	11	0.000018
人 长寿 舞唱	11	0.000018
长寿 舞唱 了	11	0.000018
舞唱 了 后行	11	0.000018
酒泉 子 长忆	10	0.000016
春 又 老	10	0.000016
和 还知 么	10	0.000016
词笑 令 诗	10	0.000016
令 诗 曰	10	0.000016
年 年 今日	10	0.000016
谒 金门 风	10	0.000016
吹 三台 舞转	10	0.000016
三台 舞转 换	10	0.000016
舞转 换 花瓶	10	0.000016
换 花瓶 又	10	0.000016
又 舞上 次	10	0.000016
舞上 次 对	10	0.000016
次 对 客放瓶	10	0.000016
风 又 雨	10	0.000016
蛮 人间 何处	10	0.000016
人间 何处 难忘	10	0.000016
还 又 是	10	0.000016
望江南 思 晴好	10	0.000016
夜 将 阑	9	0.000015
谁 与 共	9	0.000015
三 更 雨	9	0.000015
为 谁 开	9	0.000015
桃花流水 鳜鱼 肥	9	0.000015
凭 谁 为	9	0.000015
奉劳 歌伴 再	9	0.000015
歌伴 再 和	9	0.000015
再 和 前声	9	0.000015
和 前声 商调	9	0.000015
前声 商调 十二首	9	0.000015
谁 与 同	9	0.000015
愁 倚 阑	9	0.000015
相将 好 去	9	0.000015
对 客放瓶 念	9	0.000015
与 花 为主	8	0.000013
巫山 一段 云	8	0.000013
又 是 黄昏	8	0.000013
初 睡 起	8	0.000013
一年 春 事	8	0.000013
三万 六千 场	8	0.000013
修 禊 事	8	0.000013
吾 老 矣	8	0.000013
时 菩萨 蛮	8	0.000013
斜风细雨 不须 归	8	0.000013
倚 阑 人	8	0.000013
江 上 数峰	8	0.000013
等闲 过 了	8	0.000013
树 犹如 此	8	0.000013
凤凰 台上 忆	8	0.000013
台上 忆 吹箫	8	0.000013
飞 菩萨 蛮	8	0.000013
www txtbbs com	8	0.000013
txtbbs com TXT	8	0.000013
com TXT 论坛	8	0.000013
TXT 论坛 TXT	8	0.000013
论坛 TXT BBS	8	0.000013
TXT BBS 搜刮	8	0.000013
BBS 搜刮 各类	8	0.000013
搜刮 各类 TXT	8	0.000013
各类 TXT 小说	8	0.000013
TXT 小说 欢迎您	8	0.000013
小说 欢迎您 来	8	0.000013
欢迎您 来 推荐	8	0.000013
来 推荐 好书	8	0.000013
安阳 好 安阳	8	0.000013
好 安阳 好	8	0.000013
是 和 非	8	0.000013
人 已 老	8	0.000013
人 月 圆	8	0.000013
不 受 人间	8	0.000013
凭 谁 问	8	0.000013
换 坐 当	8	0.000013
坐 当 花心	8	0.000013
舞 舞 了	8	0.000013
念 了 齐唱	8	0.000013
了 齐唱 渔家傲	8	0.000013
吹 渔家傲 舞	8	0.000013
有 个人 人	7	0.000012
有 谁 能	7	0.000012
人 减字 木兰花	7	0.000012
风 与 月	7	0.000012
金盏 倒垂 莲	7	0.000012
又 是 清明	7	0.000012
清明 过 了	7	0.000012
又 是 春	7	0.000012
春 将 半	7	0.000012
谁 与 问	7	0.000012
休 更 问	7	0.000012
已 三 更	7	0.000012
欹 枕 听	7	0.000012
谁 说 与	7	0.000012
归 未 得	7	0.000012
谁 为 我	7	0.000012
凝 伫 凝	7	0.000012
伫 凝 伫	7	0.000012
过 了 清明	7	0.000012
记得 年 时	7	0.000012
红 林檎 近	7	0.000012
帘 栊 静	7	0.000012
人 在 天涯	7	0.000012
去 来 休	7	0.000012
著 甚来 由	7	0.000012
为 谁 容	7	0.000012
陌上 风光 浓处	7	0.000012
参横 月 落	7	0.000012
襦 衤 夸	7	0.000012
又 是 一番	7	0.000012
去 念 了	7	0.000012
渔家傲 舞 舞	7	0.000012
舞 了 念诗	7	0.000012
有 谁 怜	7	0.000012
减字 木兰花 酒	7	0.000012
木兰花 酒 巡未止	7	0.000012
清 和 时候	7	0.000012
吾 衰 矣	7	0.000012
困 人 天气	6	0.000010
又 是 匆匆	6	0.000010
月 上 时	6	0.000010
看 菩萨 蛮	6	0.000010
春 又 晚	6	0.000010
春 又 去	6	0.000010
定风波 把 酒花	6	0.000010
不 忄 欠	6	0.000010
别 后 相思	6	0.000010
人 菩萨 蛮	6	0.000010
倚 阑 看	6	0.000010
处 点 绛	6	0.000010
休休 莫 莫	6	0.000010
人间 何处 有	6	0.000010
兰亭 修 禊	6	0.000010
谁 伴 我	6	0.000010
多 菩萨 蛮	6	0.000010
别离 菩萨 蛮	6	0.000010
有 谁 来	6	0.000010
绿 蓑衣 斜风细雨	6	0.000010
蓑衣 斜风细雨 不须	6	0.000010
破 点 绛	6	0.000010
长 菩萨 蛮	6	0.000010
来 又 去	6	0.000010
插 满头 归	6	0.000010
金人 捧 露盘	6	0.000010
草 萋 萋	6	0.000010
上 数峰 青	6	0.000010
与 谁 论	6	0.000010
一 蓑 烟雨	6	0.000010
都 休 说	6	0.000010
为 谁 来	6	0.000010
亭 前 柳	6	0.000010
萋 萋 芳草	6	0.000010
来 相 就	6	0.000010
心事 有 谁知	6	0.000010
绛 唇 何处	6	0.000010
春 已 半	6	0.000010
醉 蓬莱 正	6	0.000010
醉 还 醒	6	0.000010
金门 春 又	6	0.000010
清明 都 过	6	0.000010
从 今日 日	6	0.000010
香 减字 木兰花	6	0.000010
晴 还 雨	6	0.000010
问 谁 能	6	0.000010
好 去 念	6	0.000010
后行 吹 太	6	0.000010
吹 太 清歌	6	0.000010
太 清歌 众舞	6	0.000010
白玉 楼步 虚词	6	0.000010
绣 帘 高卷	5	0.000008
对 月 临风	5	0.000008
谁 与 寄	5	0.000008
和 衣 睡	5	0.000008
不 似 去年	5	0.000008
何时 是 了	5	0.000008
不寒 不 暖	5	0.000008
双 鸂 鶒	5	0.000008
山色 有无 中	5	0.000008
欲 笑 还	5	0.000008
知 与 谁	5	0.000008
把 酒花 前欲	5	0.000008
更 有 何人	5	0.000008
又 春 归	5	0.000008
暂来 还 去	5	0.000008
蕊 珠 宫里	5	0.000008
晓来 雨 过	5	0.000008
岁 云 暮	5	0.000008
上 三 更	5	0.000008
万事 转头 空	5	0.000008
是 吾 乡	5	0.000008
欲 下 还	5	0.000008
更 无 一点	5	0.000008
雁 点 绛	5	0.000008
谁 似 我	5	0.000008
能 有 几人知	5	0.000008
却 寻 归路	5	0.000008
醉 蓦 山溪	5	0.000008
又 是 重阳	5	0.000008
绣 帘 垂	5	0.000008
娉 娉 袅袅	5	0.000008
年 年 有	5	0.000008
年 年 事	5	0.000008
一 觉 扬州	5	0.000008
白鹭飞 桃花流水 鳜鱼	5	0.000008
新 篘 熟	5	0.000008
人 已 去	5	0.000008
凭 肩 私语	5	0.000008
知 他 是	5	0.000008
重阳 近 也	5	0.000008
和 羹 事	5	0.000008
又 是 一年	5	0.000008
今日 重 来	5	0.000008
莼羹 鲈 鲙	5	0.000008
慵 梳 掠	5	0.000008
归 阮郎 归	5	0.000008
醉 蓬莱 问	5	0.000008
娟 娟 月	5	0.000008
与 君为 寿	5	0.000008
香 菩萨 蛮	5	0.000008
西塞山 前 白鹭飞	5	0.000008
八声 甘州 问	5	0.000008
流水 溅 溅	5	0.000008
谒 金门 花	5	0.000008
绣 被 春寒	5	0.000008
能 有 几	5	0.000008
消息 好事 近	5	0.000008
酴 醿 花	5	0.000008
送 春 归去	5	0.000008
酴 醿 酒	5	0.000008
好事 近 春色	5	0.000008
月 如 钩	5	0.000008
怀抱 向 谁	5	0.000008
寒食 清明 都	5	0.000008
八声 甘州 记	5	0.000008
长 相思 令	5	0.000008
绣 帘 低	5	0.000008
斟 醽 醁	5	0.000008
谁 是 伴	5	0.000008
乍 晴 还	5	0.000008
花心 答 念	5	0.000008
吹 渔家傲 花心	5	0.000008
渔家傲 花心 舞上	5	0.000008
花心 舞上 折花	5	0.000008
舞上 折花 了	5	0.000008
折花 了 唱	5	0.000008
了 唱 渔家傲	5	0.000008
吹 渔家傲 五人舞	5	0.000008
渔家傲 五人舞 换	5	0.000008
五人舞 换 坐	5	0.000008
为 谁 留	5	0.000008
送 将 归	5	0.000008
唇 何处 春来	5	0.000008
愁 菩萨 蛮	5	0.000008
菩萨 蛮 东风	5	0.000008
朝中措 年 年	5	0.000008
乘 槎 客	5	0.000008
有 如此 酒	5	0.000008
金门 风 又	5	0.000008
是 则 是	5	0.000008
吾 年 如此	5	0.000008
薰风 解 愠	4	0.000007
试 与 问	4	0.000007
愁 无 那	4	0.000007
棹 蒹 葭	4	0.000007
八声 甘州 对	4	0.000007
翠 深红 浅	4	0.000007
