# 总词数: 606324
# 词汇表大小: 124054
# 格式: 词语	频次	频率
#==================================================
谁	2797	0.004613
月	2479	0.004089
是	2358	0.003889
又	2148	0.003543
与	2099	0.003462
人	1881	0.003102
去	1766	0.002913
有	1753	0.002891
更	1747	0.002881
我	1605	0.002647
在	1602	0.002642
也	1520	0.002507
还	1414	0.002332
不	1340	0.002210
为	1280	0.002111
好	1202	0.001982
年	1183	0.001951
来	1178	0.001943
都	1161	0.001915
醉	1145	0.001888
了	1140	0.001880
看	1063	0.001753
却	1059	0.001747
无	1046	0.001725
上	1032	0.001702
得	1017	0.001677
春	1002	0.001653
笑	999	0.001648
处	969	0.001598
东风	956	0.001577
把	934	0.001540
老	933	0.001539
向	931	0.001535
欲	887	0.001463
问	879	0.001450
何处	876	0.001445
和	868	0.001432
到	852	0.001405
归	852	0.001405
且	848	0.001399
恨	845	0.001394
中	826	0.001362
见	823	0.001357
酒	818	0.001349
尽	778	0.001283
人间	775	0.001278
时	743	0.001225
小	738	0.001217
已	733	0.001209
愁	724	0.001194
雨	719	0.001186
将	712	0.001174
便	707	0.001166
花	705	0.001163
对	694	0.001145
说	688	0.001135
梦	686	0.001131
浣溪沙	683	0.001126
似	677	0.001117
里	666	0.001098
倚	647	0.001067
下	646	0.001065
但	636	0.001049
风流	619	0.001021
一	611	0.001008
事	606	0.000999
西风	605	0.000998
听	602	0.000993
他	599	0.000988
相思	592	0.000976
后	588	0.000970
未	586	0.000966
过	585	0.000965
被	578	0.000953
春风	575	0.000948
路	567	0.000935
曾	565	0.000932
香	562	0.000927
新	560	0.000924
红	555	0.000915
只	546	0.000901
归来	545	0.000899
木兰花	545	0.000899
水调歌头	545	0.000899
道	544	0.000897
吹	544	0.000897
日	537	0.000886
近	534	0.000881
梅花	528	0.000871
归去	523	0.000863
之	521	0.000859
待	521	0.000859
绣	508	0.000838
江南	506	0.000835
碧	502	0.000828
凭	498	0.000821
远	495	0.000816
绛	489	0.000806
蛮	488	0.000805
鹧鸪天	487	0.000803
如今	477	0.000787
如	469	0.000774
回首	469	0.000774
菩萨	468	0.000772
正	461	0.000760
暮	452	0.000745
明月	449	0.000741
风	449	0.000741
起	449	0.000741
阑干	446	0.000736
飞	443	0.000731
天	441	0.000727
千里	440	0.000726
空	440	0.000726
才	438	0.000722
长	437	0.000721
多少	430	0.000709
岁	421	0.000694
暖	421	0.000694
共	421	0.000694
绿	417	0.000688
阑	409	0.000675
怕	404	0.000666
寄	402	0.000663
须	401	0.000661
多	400	0.000660
相逢	400	0.000660
云	396	0.000653
玉	395	0.000651
芳草	393	0.000648
望	391	0.000645
闲	387	0.000638
万里	384	0.000633
自	383	0.000632
莺	379	0.000625
晚	379	0.000625
临江仙	373	0.000615
想	369	0.000609
水	368	0.000607
满江红	368	0.000607
尊前	367	0.000605
天涯	367	0.000605
黄昏	366	0.000604
清	362	0.000597
减字	362	0.000597
从	360	0.000594
当年	359	0.000592
能	358	0.000590
点	358	0.000590
地	354	0.000584
满	353	0.000582
依旧	352	0.000581
风雨	352	0.000581
同	351	0.000579
就	349	0.000576
冷	349	0.000576
外	348	0.000574
当时	343	0.000566
故人	343	0.000566
雪	343	0.000566
叹	342	0.000564
难	339	0.000559
斜	338	0.000557
休	337	0.000556
翠	336	0.000554
寒	334	0.000551
念	332	0.000548
知	332	0.000548
仙	331	0.000546
棹	330	0.000544
吾	330	0.000544
睡	329	0.000543
住	328	0.000541
旧	327	0.000539
斜阳	325	0.000536
蝶恋花	325	0.000536
早	324	0.000534
一笑	323	0.000533
无人	320	0.000528
弄	320	0.000528
西江月	317	0.000523
记	317	0.000523
多情	316	0.000521
要	316	0.000521
唇	316	0.000521
念奴娇	315	0.000520
风月	311	0.000513
矣	308	0.000508
秋	306	0.000505
深	306	0.000505
客	305	0.000503
算	304	0.000501
不知	303	0.000500
不见	302	0.000498
平生	301	0.000496
重	301	0.000496
催	300	0.000495
犹	300	0.000495
开	298	0.000491
匆匆	298	0.000491
轻	296	0.000488
深处	296	0.000488
凄凉	296	0.000488
