# 总词数: 487832
# 词汇表大小: 91800
# 格式: 词语	频次	频率
#==================================================
的 ud	12343	0.025302
n wd	6123	0.012551
n 的	4206	0.008622
n wj	3553	0.007283
在 p	2708	0.005551
和 c	2414	0.004948
了 ul	2352	0.004821
vt wd	2252	0.004616
是 vl	2239	0.004590
vt 了	2126	0.004358
vt 的	1862	0.003817
n wu	1839	0.003770
a 的	1797	0.003684
n nt	1591	0.003261
一 m	1554	0.003186
n 和	1312	0.002689
f wd	1299	0.002663
vn wd	1211	0.002482
不 df	1163	0.002384
vn wj	935	0.001917
vt wj	861	0.001765
年 t	860	0.001763
月 t	765	0.001568
a wd	742	0.001521
这 rz	739	0.001515
对 p	738	0.001513
vi wd	737	0.001511
t wd	730	0.001496
中 f	719	0.001474
n wyy	719	0.001474
中国 ns	718	0.001472
上 shang5	715	0.001466
有 vt	712	0.001460
shang5 f	708	0.001451
企业 n	691	0.001416
001 m	672	0.001378
m 年	664	0.001361
日 t	653	0.001339
他 rr	651	0.001334
n 上	645	0.001322
经济 n	642	0.001316
vt m	638	0.001308
等 u	620	0.001271
002 m	598	0.001226
年 qt	591	0.001211
为 wei4	591	0.001211
wei4 p	591	0.001211
也 d	583	0.001195
wj 19980106	573	0.001175
大 a	568	0.001164
个 qe	564	0.001156
工作 vn	550	0.001127
新 a	543	0.001113
003 m	535	0.001097
t 日	529	0.001084
n wky	516	0.001058
要 vu	516	0.001058
国家 n	515	0.001056
就 d	512	0.001050
说 vt	511	0.001047
vi 的	510	0.001045
d 是	509	0.001043
人 n	508	0.001041
m 个	508	0.001041
我们 rr	505	0.001035
为 vl	492	0.001009
地 ui	484	0.000992
发展 vt	471	0.000965
从 p	463	0.000949
wj 19980105	456	0.000935
wj 19980107	456	0.000935
记者 n	453	0.000929
与 p	451	0.000924
004 m	443	0.000908
一个 mq	440	0.000902
以 p	440	0.000902
n 在	431	0.000884
f 的	429	0.000879
vi wj	427	0.000875
n 中	426	0.000873
n 是	424	0.000869
wd 在	423	0.000867
nrg wu	416	0.000853
两 m	401	0.000822
我 rr	396	0.000812
a wj	391	0.000802
都 d	389	0.000797
vt 在	388	0.000795
市场 n	386	0.000791
到 vq	382	0.000783
vn 的	381	0.000781
而 c	381	0.000781
n m	380	0.000779
将 d	380	0.000779
人民 n	379	0.000777
rr 的	379	0.000777
万 m	378	0.000775
ns 的	369	0.000756
后 f	369	0.000756
vt wm	363	0.000744
005 m	356	0.000730
wj 19980108	354	0.000726
全国 n	353	0.000724
政府 n	344	0.000705
c wd	342	0.000701
vn 和	337	0.000691
问题 n	336	0.000689
vt 到	335	0.000687
已 d	333	0.000683
vt wu	331	0.000679
本报 rz	331	0.000679
使 vt	329	0.000674
多 m	329	0.000674
把 p	327	0.000670
建设 vn	324	0.000664
m 元	322	0.000660
元 qd	322	0.000660
着 uz	318	0.000652
ns wu	317	0.000650
t 月	316	0.000648
还 d	314	0.000644
n 为	309	0.000633
好 a	307	0.000629
vt 着	296	0.000607
m 多	293	0.000601
向 p	291	0.000597
最 dc	289	0.000592
同志 n	287	0.000588
vt wyz	286	0.000586
能 vu	285	0.000584
社会 n	284	0.000582
vt 一	281	0.000576
006 m	280	0.000574
并 c	278	0.000570
但 c	278	0.000570
发展 vn	277	0.000568
vn wu	277	0.000568
于 p	277	0.000568
vt 和	274	0.000562
他们 rr	274	0.000562
我国 rz	273	0.000560
由 p	271	0.000556
时 Ng	269	0.000551
a 地	268	0.000549
d 有	268	0.000549
被 p	265	0.000543
进行 vx	263	0.000539
北京 ns	262	0.000537
n ns	261	0.000535
m 本报	261	0.000535
党 n	258	0.000529
群众 n	257	0.000527
价格 n	257	0.000527
n 建设	256	0.000525
世界 n	255	0.000523
wd 是	255	0.000523
李 nrf	255	0.000523
qd wd	255	0.000523
ns 月	254	0.000521
t 的	253	0.000519
电 n	252	0.000517
Ng wd	252	0.000517
a wu	249	0.000510
与 c	243	0.000498
wyy wd	243	0.000498
wj 在	240	0.000492
nrg wky	240	0.000492
n wf	239	0.000490
