# 总词数: 487831
# 词汇表大小: 218120
# 格式: 词语	频次	频率
#==================================================
n 的 ud	4206	0.008622
vt 了 ul	2041	0.004184
vt 的 ud	1862	0.003817
a 的 ud	1797	0.003684
n 和 c	1297	0.002659
上 shang5 f	708	0.001451
n 上 shang5	632	0.001296
为 wei4 p	591	0.001211
m 年 qt	551	0.001129
t 日 t	529	0.001084
月 t 日	519	0.001064
vi 的 ud	509	0.001043
m 个 qe	508	0.001041
d 是 vl	507	0.001039
f 的 ud	429	0.000879
n 中 f	425	0.000871
n 是 vl	423	0.000867
wd 在 p	422	0.000865
n 在 p	391	0.000802
vt 在 p	386	0.000791
vn 的 ud	381	0.000781
rr 的 ud	379	0.000777
ns 的 ud	369	0.000756
vn 和 c	337	0.000691
m 元 qd	322	0.000660
t 月 t	316	0.000648
vt 到 vq	316	0.000648
vt 着 uz	295	0.000605
m 多 m	293	0.000601
说 vt wd	287	0.000588
vt 一 m	278	0.000570
vt 和 c	269	0.000551
a 地 ui	265	0.000543
n wj 19980106	264	0.000541
m 本报 rz	261	0.000535
wd 是 vl	255	0.000523
ns 月 t	254	0.000521
t 的 ud	253	0.000519
n 建设 vn	241	0.000494
wj 在 p	240	0.000492
n 为 vl	229	0.000469
年 t 月	228	0.000467
t 电 n	227	0.000465
n 等 u	227	0.000465
rz 一 m	226	0.000463
d 不 df	224	0.000459
wd 但 c	221	0.000453
wyy 的 ud	214	0.000439
日 t 电	214	0.000439
p 年 t	213	0.000437
wd 并 c	212	0.000435
n 不 df	209	0.000428
wj 他 rr	209	0.000428
电 n w	206	0.000422
的 ud 一	205	0.000420
ud 一 m	205	0.000420
vt 出 vq	203	0.000416
后 f wd	202	0.000414
m 次 qv	201	0.000412
wd 他 rr	201	0.000412
d 有 vt	201	0.000412
nrg 同志 n	200	0.000410
dc 大 a	198	0.000406
n wj 19980105	197	0.000404
的 ud wj	196	0.000402
的 ud m	195	0.000400
wd 这 rz	192	0.000394
002 m 本报	192	0.000394
中 f wd	191	0.000392
n 工作 vn	189	0.000387
wd 为 wei4	188	0.000385
wd 也 d	185	0.000379
