# 总词数: 487833
# 词汇表大小: 21961
# 格式: 词语	频次	频率
#==================================================
n	54046	0.110788
vt	30321	0.062154
wd	17136	0.035127
m	12428	0.025476
的	12420	0.025460
ud	12343	0.025302
vn	9483	0.019439
p	9310	0.019084
wj	8268	0.016948
a	8266	0.016944
d	7842	0.016075
ns	6481	0.013285
c	5792	0.011873
t	4896	0.010036
wu	4533	0.009292
f	4112	0.008429
rz	3913	0.008021
vi	3769	0.007726
vl	3245	0.006652
nrf	2958	0.006064
在	2860	0.005863
nrg	2851	0.005844
rr	2782	0.005703
了	2596	0.005321
nt	2585	0.005299
和	2476	0.005076
ul	2352	0.004821
是	2290	0.004694
qe	2269	0.004651
vu	1845	0.003782
wyz	1777	0.003643
wyy	1770	0.003628
b	1718	0.003522
一	1618	0.003317
dc	1567	0.003212
jn	1518	0.003112
年	1506	0.003087
ad	1489	0.003052
001	1426	0.002923
df	1385	0.002839
vq	1322	0.002710
wkz	1306	0.002677
wky	1306	0.002677
002	1259	0.002581
不	1169	0.002396
为	1102	0.002259
有	1008	0.002066
u	973	0.001995
003	941	0.001929
Ng	936	0.001919
19980106	914	0.001874
上	889	0.001822
s	882	0.001808
qd	871	0.001785
mq	865	0.001773
qt	855	0.001753
nz	844	0.001730
月	827	0.001695
004	806	0.001652
19980105	793	0.001626
中	778	0.001595
对	775	0.001589
发展	751	0.001539
iv	751	0.001539
nr	741	0.001519
这	739	0.001515
19980107	723	0.001482
中国	719	0.001474
shang5	715	0.001466
wm	706	0.001447
与	694	0.001423
企业	691	0.001416
日	687	0.001408
005	682	0.001398
经济	669	0.001371
到	661	0.001355
他	655	0.001343
工作	649	0.001330
等	631	0.001293
多	622	0.001275
006	618	0.001267
大	618	0.001267
要	615	0.001261
19980108	596	0.001222
wei4	591	0.001211
02	588	0.001205
也	587	0.001203
将	578	0.001185
就	578	0.001185
r	577	0.001183
新	566	0.001160
个	566	0.001160
以	556	0.001140
地	547	0.001121
vx	547	0.001121
01	538	0.001103
wf	536	0.001099
说	517	0.001060
国家	515	0.001056
人	513	0.001052
我们	505	0.001035
007	489	0.001002
j	486	0.000996
03	486	0.000996
ui	485	0.000994
008	483	0.000990
04	467	0.000957
从	465	0.000953
l	460	0.000943
lv	459	0.000941
记者	453	0.000929
一个	440	0.000902
建设	434	0.000890
w	415	0.000851
qv	410	0.000840
两	403	0.000826
an	402	0.000824
我	396	0.000812
v	390	0.000799
都	389	0.000797
市场	386	0.000791
Vg	384	0.000787
万	384	0.000787
而	383	0.000785
人民	380	0.000779
19980101	374	0.000767
07	374	0.000767
后	371	0.000761
全国	353	0.000724
来	348	0.000713
政府	344	0.000705
并	344	0.000705
009	341	0.000699
问题	336	0.000689
y	336	0.000689
把	335	0.000687
已	334	0.000685
05	332	0.000681
本报	331	0.000679
时	331	0.000679
使	329	0.000674
着	325	0.000666
元	324	0.000664
06	322	0.000660
还	320	0.000656
下	320	0.000656
uz	318	0.000652
19980104	318	0.000652
好	316	0.000648
09	308	0.000631
于	302	0.000619
向	297	0.000609
19980103	296	0.000607
10	295	0.000605
最	291	0.000597
同志	287	0.000588
能	287	0.000588
进行	286	0.000586
社会	284	0.000582
领导	283	0.000580
由	279	0.000572
管理	279	0.000572
但	278	0.000570
ry	277	0.000568
他们	274	0.000562
我国	273	0.000560
改革	272	0.000558
z	270	0.000553
被	269	0.000551
高	268	0.000549
张	267	0.000547
又	263	0.000539
北京	262	0.000537
wp	261	0.000535
党	259	0.000531
群众	257	0.000527
价格	257	0.000527
世界	255	0.000523
李	255	0.000523
电	254	0.000521
010	253	0.000519
提高	248	0.000508
出	246	0.000504
之	244	0.000500
qz	243	0.000498
11	242	0.000496
新华社	237	0.000486
国际	237	0.000486
金融	237	0.000486
更	236	0.000484
重要	233	0.000478
生产	228	0.000467
起	227	0.000465
所	226	0.000463
关系	225	0.000461
三	224	0.000459
技术	222	0.000455
部门	221	0.000453
地区	220	0.000451
19980102	220	0.000451
qj	219	0.000449
公司	219	0.000449
活动	216	0.000443
同	215	0.000441
给	215	0.000441
亿	214	0.000439
种	212	0.000435
一些	209	0.000428
据	209	0.000428
k	207	0.000424
服务	206	0.000422
次	205	0.000420
vd	204	0.000418
干部	204	0.000418
银行	204	0.000418
里	203	0.000416
组织	202	0.000414
其	202	0.000414
自己	201	0.000412
加强	200	0.000410
011	200	0.000410
012	199	0.000408
第一	199	0.000408
副	199	0.000408
农业	198	0.000406
会	197	0.000404
历史	195	0.000400
很	195	0.000400
位	194	0.000398
家	194	0.000398
产品	194	0.000398
增长	193	0.000396
没有	192	0.000394
方面	192	0.000394
通过	191	0.000392
农民	190	0.000389
周	190	0.000389
名	187	0.000383
美元	187	0.000383
us	186	0.000381
去年	185	0.000379
刘	183	0.000375
职工	183	0.000375
12	183	0.000375
报道	181	0.000371
过	181	0.000371
国	180	0.000369
小	180	0.000369
主要	179	0.000367
们	178	0.000365
要求	178	0.000365
前	176	0.000361
美国	175	0.000359
有关	174	0.000357
目前	174	0.000357
生活	173	0.000355
合作	172	0.000353
经营	172	0.000353
全	171	0.000351
集团	171	0.000351
她	169	0.000346
同时	166	0.000340
这些	165	0.000338
水平	165	0.000338
做	165	0.000338
实现	164	0.000336
今天	164	0.000336
投资	162	0.000332
体育	162	0.000332
可	161	0.000330
成为	161	0.000330
用	161	0.000330
几	161	0.000330
及	158	0.000324
产业	157	0.000322
可以	156	0.000320
得	154	0.000316
工程	154	0.000316
农村	152	0.000312
思想	151	0.000310
文化	151	0.000310
人员	151	0.000310
ww	151	0.000310
基础	149	0.000305
你	149	0.000305
中央	148	0.000303
wt	148	0.000303
内	148	0.000303
新年	147	0.000301
建立	147	0.000301
解决	147	0.000301
达	147	0.000301
013	146	0.000299
教育	145	0.000297
市	144	0.000295
再	143	0.000293
项	142	0.000291
提出	142	0.000291
图片	141	0.000289
精神	141	0.000289
条	141	0.000289
社会主义	140	0.000287
必须	140	0.000287
积极	139	0.000285
香港	138	0.000283
结构	138	0.000283
研究	138	0.000283
项目	138	0.000283
这个	137	0.000281
讯	136	0.000279
nx	136	0.000279
会议	136	0.000279
影响	136	0.000279
只	136	0.000279
王	135	0.000277
表示	134	0.000275
进一步	133	0.000273
至	133	0.000273
政策	132	0.000271
去	131	0.000269
科技	130	0.000266
它	130	0.000266
走	129	0.000264
人们	129	0.000264
qc	129	0.000264
取得	128	0.000262
较	128	0.000262
情况	127	0.000260
困难	127	0.000260
钱	127	0.000260
继续	126	0.000258
稳定	126	0.000258
近	126	0.000258
典型	126	0.000258
却	126	0.000258
形成	125	0.000256
开始	125	0.000256
这种	125	0.000256
此	124	0.000254
或	124	0.000254
环境	123	0.000252
作用	123	0.000252
当	121	0.000248
提供	120	0.000246
许多	120	0.000246
基本	120	0.000246
作为	120	0.000246
先进	119	0.000244
发生	118	0.000242
014	118	0.000242
陈	118	0.000242
单位	117	0.000240
开发	117	0.000240
由于	117	0.000240
认为	117	0.000240
努力	116	0.000238
q	116	0.000238
条件	115	0.000236
in	115	0.000236
举行	115	0.000236
交通	115	0.000236
江	114	0.000234
特别	114	0.000234
政治	114	0.000234
ue	114	0.000234
南非	114	0.000234
应	113	0.000232
事业	112	0.000230
参加	112	0.000230
全面	112	0.000230
各	112	0.000230
时间	112	0.000230
才	111	0.000228
调整	111	0.000228
机构	111	0.000228
五	110	0.000225
广大	109	0.000223
需要	109	0.000223
ln	107	0.000219
uo	107	0.000219
世纪	106	0.000217
坚持	106	0.000217
实行	106	0.000217
中心	105	0.000215
指出	105	0.000215
增加	105	0.000215
俄	105	0.000215
今年	104	0.000213
看	104	0.000213
省	104	0.000213
恩来	104	0.000213
和平	103	0.000211
学习	103	0.000211
kan4	103	0.000211
成	103	0.000211
国务院	102	0.000209
地方	102	0.000209
其他	101	0.000207
开展	101	0.000207
国内	101	0.000207
重点	101	0.000207
ying1	101	0.000207
已经	100	0.000205
进入	100	0.000205
天	100	0.000205
总	100	0.000205
战略	100	0.000205
二	100	0.000205
决定	100	0.000205
实际	99	0.000203
办	99	0.000203
让	99	0.000203
读者	99	0.000203
