查询词,排名,相似词,相似度
中国,1,南非,0.5849834084510803
中国,2,中华人民共和国,0.5605126023292542
中国,3,南非共和国,0.5391989350318909
中国,4,山东,0.5344099998474121
中国,5,沁源,0.5306510925292969
中国,6,大使馆,0.5274142622947693
中国,7,非洲,0.5273569226264954
中国,8,华人,0.5264254212379456
中国,9,夸,0.5243366956710815
中国,10,纳省,0.5242061018943787
经济,1,国民经济,0.620865523815155
经济,2,所有制,0.6173585653305054
经济,3,市场经济,0.5984310507774353
经济,4,区域,0.5913048982620239
经济,5,贸易,0.5896035432815552
经济,6,形势,0.5894597172737122
经济,7,动力,0.5887187123298645
经济,8,调整,0.583839476108551
经济,9,物价,0.5818770527839661
经济,10,生产力,0.5804298520088196
发展,1,国民经济,0.6903958916664124
发展,2,振兴,0.6558587551116943
发展,3,动力,0.6527366638183594
发展,4,产业化,0.6450209617614746
发展,5,推进,0.6362376809120178
发展,6,增长点,0.6260503530502319
发展,7,改变,0.6250638961791992
发展,8,稳步,0.6223599910736084
发展,9,挑战,0.6194740533828735
发展,10,繁荣,0.6176161766052246
技术,1,工艺,0.7290953397750854
技术,2,多媒体,0.7176037430763245
技术,3,科学,0.7089520692825317
技术,4,综合,0.6908779144287109
技术,5,通信,0.681717574596405
技术,6,水利工程,0.6790968179702759
技术,7,能源,0.6731740236282349
技术,8,设备,0.6712414026260376
技术,9,高新技术,0.6710684299468994
技术,10,含量,0.6706586480140686
政府,1,指导价,0.6873266100883484
政府,2,人民政府,0.6404165625572205
政府,3,定价,0.6353503465652466
政府,4,主管,0.6253824830055237
政府,5,灾区,0.6013724207878113
政府,6,官员,0.600997269153595
政府,7,直辖市,0.5865405797958374
政府,8,特区,0.5865110158920288
政府,9,认定,0.5859823226928711
政府,10,规定,0.5731735825538635
