词汇表大小,向量维度,平均相似度,相似度标准差,词汇覆盖率,参数类型,参数值
1720,50,0.9376507201365063,0.04066551847865693,1.0,向量维度,50
1720,100,0.9441005536488125,0.03994979914060625,1.0,向量维度,100
1720,150,0.9493367382458278,0.03789702477376619,1.0,向量维度,150
1720,200,0.948486009665898,0.03766052678600232,1.0,向量维度,200
1720,300,0.9533647626638412,0.036825555525408116,1.0,向量维度,300
1720,100,0.9324094010250908,0.03930343420956841,1.0,窗口大小,2
1720,100,0.9421000638178416,0.03910516593017742,1.0,窗口大小,5
1720,100,0.9501783937215806,0.03529800996993117,1.0,窗口大小,8
1720,100,0.9486618582691466,0.035286123417605224,1.0,窗口大小,10
1720,100,0.9481877820832388,0.04294774154794696,1.0,窗口大小,15
8648,100,0.9705082667725425,0.02308359725145202,1.0,最小词频,1
2787,100,0.9551198605980191,0.036437687171819465,1.0,最小词频,3
1720,100,0.9445580780506134,0.03620455601982569,1.0,最小词频,5
882,100,0.9306909888982773,0.04159750871740909,1.0,最小词频,10
438,100,0.9136250900370734,0.03980482823072604,1.0,最小词频,20
1720,100,0.9423513280493871,0.03963597023905175,1.0,算法类型,CBOW
1720,100,0.8316299676895144,0.058935791264369715,1.0,算法类型,Skip-gram
1720,100,0.9920869290828706,0.012078525504581042,1.0,训练轮数,5
1720,100,0.9435282004731043,0.040225804315581405,1.0,训练轮数,10
1720,100,0.812692980681147,0.05678458121697167,1.0,训练轮数,20
1720,100,0.7066287679331643,0.05339715279695501,1.0,训练轮数,30
1720,100,0.5672936443771635,0.06798461560019958,1.0,训练轮数,50
