word,frequency
的,2184
了,1150
很,1025
也,674
好,638
非常,631
手机,601
是,471
苹果,446
拍照,421
用,399
都,356
不错,340
我,337
速度,328
效果,315
京东,304
还是,280
外观,273
买,265
使用,263
流畅,260
运行,250
就,248
屏幕,244
有,234
喜欢,232
在,210
快,200
还,196
体验,195
和,191
质量,191
物流,186
真的,183
满意,178
性能,172
很快,163
能,155
给,152
手感,152
清晰,146
Pro,143
续航,141
购买,140
这,140
系统,139
价格,137
外形,135
可以,135
没有,133
高,130
到,129
比,128
以旧换新,128
让,127
好看,127
就是,126
一直,124
音效,123
感觉,121
购物,119
问题,115
值得,114
特别,113
收到,112
iPhone,110
包装,109
不,104
质感,102
款,101
电池,100
没,98
待机时间,97
16pro,94
起来,94
之前,93
上,91
推荐,90
发货,90
而且,88
这个,88
服务,85
换,85
一天,82
又,78
出色,78
完全,78
比较,78
性价比,77
功能,76
一次,74
入手,74
超级,73
这次,73
再,71
商品,71
它,70
人,70
从,70
