词语,频率
10,55
11,54
12,44
15,38
13,37
16,26
14,23
17,23
18,22
27,17
25,16
19,15
24,14
29,13
20,13
30,11
21,11
23,11
22,11
34,8
33,7
32,7
48,7
26,7
39,7
41,7
35,7
28,7
60,6
46,6
40,6
63,6
67,6
47,6
62,6
42,6
36,6
70,6
38,5
78,5
37,5
43,4
45,4
57,4
56,4
54,4
31,4
64,3
100,3
128,3
44,3
74,3
51,3
49,3
59,3
53,3
94,2
183,2
200,2
250,2
61,2
69,2
99,2
110,2
71,2
90,2
135,2
191,2
68,2
127,2
152,2
85,2
55,2
88,2
140,2
73,2
02,1
05,1
000,1
1000,1
1100,1
11P,1
11p,1
11pro,1
11promax,1
120,1
1200,1
1206,1
120Hz,1
120fps,1
120hz,1
128G,1
128GB,1
128g,1
12Pro,1
12p,1
12pm,1
12pro,1
13Pro,1
13pm,1
