iter	RMSE
0	60.40143869
1	58.45810418
2	56.57590045
3	54.74729883
4	52.99265968
5	51.28664836
6	49.65024779
7	48.06073737
8	46.52018039
9	45.02930582
10	43.59396896
11	42.2011584
12	40.85571681
13	39.55695347
14	38.29641733
15	37.08227664
16	35.9133581
17	34.77378972
18	33.67704061
19	32.6116367
20	31.58563512
21	30.59825685
22	29.644539
23	28.72288463
24	27.82856715
25	26.9641351
26	26.1332998
27	25.32771579
28	24.54991782
29	23.79714292
30	23.06839279
31	22.3694519
32	21.68636761
33	21.02676934
34	20.39030144
35	19.77525316
36	19.18540394
37	18.61725188
38	18.06771077
39	17.53442862
40	17.02046802
41	16.52537277
42	16.04922147
43	15.58785304
44	15.14046386
45	14.71295909
46	14.29934728
47	13.8995775
48	13.51435075
49	13.14604265
50	12.79145477
51	12.44548144
52	12.11440813
53	11.79902595
54	11.49352531
55	11.19720891
56	10.91097033
57	10.63522557
58	10.36926286
59	10.11751936
60	9.873736162
61	9.634352001
62	9.407925737
63	9.188019693
64	8.976564524
65	8.778714581
66	8.586386125
67	8.398370639
68	8.217203741
69	8.049665652
70	7.885263737
71	7.726669899
72	7.573272824
73	7.425703486
74	7.285524032
75	7.15589132
76	7.025659916
77	6.90333534
78	6.785006026
79	6.675927041
80	6.567856337
81	6.462737365
82	6.36276411
83	6.267571549
84	6.175778479
85	6.091818924
86	6.008570414
87	5.932343447
88	5.856281089
89	5.785634909
90	5.716550563
91	5.650615336
92	5.587265804
93	5.528539026
94	5.469955097
95	5.416481057
96	5.364072968
97	5.313975231
98	5.268038045
99	5.225402919
100	5.181227497
101	5.139663329
102	5.101518775
103	5.066115506
104	5.030091635
105	4.997481198
106	4.964772077
107	4.933201589
108	4.905027618
109	4.878624057
110	4.851083894
111	4.826372251
112	4.802045885
113	4.778884298
114	4.75614989
115	4.734889646
116	4.714256997
117	4.694943009
118	4.678597854
119	4.660721841
120	4.643961829
121	4.627381622
122	4.613718492
123	4.600464118
124	4.586578222
125	4.574417336
126	4.560635485
127	4.548823139
128	4.537139599
129	4.525627893
130	4.515489812
131	4.505380459
132	4.495081908
133	4.4866735
134	4.477332742
135	4.467688315
136	4.460034467
137	4.45150591
138	4.444362234
139	4.436035973
140	4.429120938
141	4.421639749
142	4.415994808
143	4.409061193
144	4.403364201
145	4.397484563
146	4.392139541
147	4.386763566
148	4.380545617
149	4.376174923
150	4.37172113
151	4.367958676
152	4.363496197
153	4.358759634
