// Data Memory Contents with Address
// Format: [Address] Data
[0] 14
[1] 00
[2] 00
[3] 00
[4] 00
[5] 00
[6] 00
[7] 00
[8] 00
[9] 00
[10] 00
[11] 00
[12] 00
[13] 00
[14] 00
[15] 00
[16] 00
[17] 00
[18] 00
[19] 00
[20] 00
[21] 00
[22] 00
[23] 00
[24] 00
[25] 00
[26] 00
[27] 00
[28] 00
[29] 00
[30] 00
[31] 00
[32] xx
[33] xx
[34] xx
[35] xx
[36] xx
[37] xx
[38] xx
[39] xx
[40] xx
[41] xx
[42] xx
[43] xx
[44] xx
[45] xx
[46] xx
[47] xx
[48] xx
[49] xx
[50] xx
[51] xx
[52] xx
[53] xx
[54] xx
[55] xx
[56] xx
[57] xx
[58] xx
[59] xx
[60] xx
[61] xx
[62] xx
[63] xx
