algorithm,category,file_name,original_bytes,encrypted_bytes,encrypt_ms,decrypt_ms,original_sha256,restored_sha256,sensitivity_result
AES 256 GCM,图像,图片.jpg,18875778,18875806,5.534,6.204,04ad098b2d8faafe80f6afe131dec708d01a267dacd637aef5a201812e9b2eeb,04ad098b2d8faafe80f6afe131dec708d01a267dacd637aef5a201812e9b2eeb,篡改密文后拒绝解密: InvalidTag
RSA OAEP Hybrid,图像,图片.jpg,18875778,18876062,5.833,5.657,04ad098b2d8faafe80f6afe131dec708d01a267dacd637aef5a201812e9b2eeb,04ad098b2d8faafe80f6afe131dec708d01a267dacd637aef5a201812e9b2eeb,篡改密文后拒绝解密: InvalidTag
SM4 CBC,图像,图片.jpg,18875778,18875840,305.465,304.032,04ad098b2d8faafe80f6afe131dec708d01a267dacd637aef5a201812e9b2eeb,04ad098b2d8faafe80f6afe131dec708d01a267dacd637aef5a201812e9b2eeb,篡改密文后拒绝解密: ValueError
AES 256 GCM,文件,文件1.pdf,1666128,1666156,0.482,0.588,0ba0bad779cd61fdeb68666ddf20f256ccb77db7d7bdc5086b06a1fb8ec2d14e,0ba0bad779cd61fdeb68666ddf20f256ccb77db7d7bdc5086b06a1fb8ec2d14e,篡改密文后拒绝解密: InvalidTag
RSA OAEP Hybrid,文件,文件1.pdf,1666128,1666412,0.528,1.165,0ba0bad779cd61fdeb68666ddf20f256ccb77db7d7bdc5086b06a1fb8ec2d14e,0ba0bad779cd61fdeb68666ddf20f256ccb77db7d7bdc5086b06a1fb8ec2d14e,篡改密文后拒绝解密: InvalidTag
SM4 CBC,文件,文件1.pdf,1666128,1666192,27.053,28.198,0ba0bad779cd61fdeb68666ddf20f256ccb77db7d7bdc5086b06a1fb8ec2d14e,0ba0bad779cd61fdeb68666ddf20f256ccb77db7d7bdc5086b06a1fb8ec2d14e,篡改密文后拒绝解密: ValueError
AES 256 GCM,文件,文件2.docx,604805,604833,0.187,0.14,f07a3fefb412f75cc4cafe0f35cdd33be3f7d2b48cf966a6c389cd5f54c1aa40,f07a3fefb412f75cc4cafe0f35cdd33be3f7d2b48cf966a6c389cd5f54c1aa40,篡改密文后拒绝解密: InvalidTag
RSA OAEP Hybrid,文件,文件2.docx,604805,605089,0.254,0.924,f07a3fefb412f75cc4cafe0f35cdd33be3f7d2b48cf966a6c389cd5f54c1aa40,f07a3fefb412f75cc4cafe0f35cdd33be3f7d2b48cf966a6c389cd5f54c1aa40,篡改密文后拒绝解密: InvalidTag
SM4 CBC,文件,文件2.docx,604805,604864,10.676,10.784,f07a3fefb412f75cc4cafe0f35cdd33be3f7d2b48cf966a6c389cd5f54c1aa40,f07a3fefb412f75cc4cafe0f35cdd33be3f7d2b48cf966a6c389cd5f54c1aa40,篡改密文后拒绝解密: ValueError
AES 256 GCM,文件,文件3.xlsx,12288,12316,0.033,0.007,08d9a6b8fdafe3a100189e7f168075c88fd68a02f8173fea67bc4542e2263343,08d9a6b8fdafe3a100189e7f168075c88fd68a02f8173fea67bc4542e2263343,篡改密文后拒绝解密: InvalidTag
RSA OAEP Hybrid,文件,文件3.xlsx,12288,12572,0.076,0.795,08d9a6b8fdafe3a100189e7f168075c88fd68a02f8173fea67bc4542e2263343,08d9a6b8fdafe3a100189e7f168075c88fd68a02f8173fea67bc4542e2263343,篡改密文后拒绝解密: InvalidTag
SM4 CBC,文件,文件3.xlsx,12288,12352,0.362,0.36,08d9a6b8fdafe3a100189e7f168075c88fd68a02f8173fea67bc4542e2263343,08d9a6b8fdafe3a100189e7f168075c88fd68a02f8173fea67bc4542e2263343,篡改密文后拒绝解密: ValueError
AES 256 GCM,文本,文本.txt,1348,1376,0.014,0.004,557c2b064f4f24091345eac98a441948ef9b71e6541e200dd88e98231f3aa18c,557c2b064f4f24091345eac98a441948ef9b71e6541e200dd88e98231f3aa18c,篡改密文后拒绝解密: InvalidTag
RSA OAEP Hybrid,文本,文本.txt,1348,1632,0.054,0.764,557c2b064f4f24091345eac98a441948ef9b71e6541e200dd88e98231f3aa18c,557c2b064f4f24091345eac98a441948ef9b71e6541e200dd88e98231f3aa18c,篡改密文后拒绝解密: InvalidTag
SM4 CBC,文本,文本.txt,1348,1408,0.052,0.034,557c2b064f4f24091345eac98a441948ef9b71e6541e200dd88e98231f3aa18c,557c2b064f4f24091345eac98a441948ef9b71e6541e200dd88e98231f3aa18c,篡改密文后拒绝解密: ValueError
AES 256 GCM,视频,视频.mp4,13727092,13727120,4.019,3.557,8d03ea072c8bde35603de368521145c5f0b0ea567563958d6c0989820d68776a,8d03ea072c8bde35603de368521145c5f0b0ea567563958d6c0989820d68776a,篡改密文后拒绝解密: InvalidTag
RSA OAEP Hybrid,视频,视频.mp4,13727092,13727376,4.611,5.966,8d03ea072c8bde35603de368521145c5f0b0ea567563958d6c0989820d68776a,8d03ea072c8bde35603de368521145c5f0b0ea567563958d6c0989820d68776a,篡改密文后拒绝解密: InvalidTag
SM4 CBC,视频,视频.mp4,13727092,13727152,246.682,226.786,8d03ea072c8bde35603de368521145c5f0b0ea567563958d6c0989820d68776a,8d03ea072c8bde35603de368521145c5f0b0ea567563958d6c0989820d68776a,篡改密文后拒绝解密: ValueError
AES 256 GCM,声音,音频.mp3,880639,880667,0.236,0.234,f5f8371ed5f0d261ddbc93a7f030596043c96371ba19de15c556c3b2ae375e9b,f5f8371ed5f0d261ddbc93a7f030596043c96371ba19de15c556c3b2ae375e9b,篡改密文后拒绝解密: InvalidTag
RSA OAEP Hybrid,声音,音频.mp3,880639,880923,0.216,0.916,f5f8371ed5f0d261ddbc93a7f030596043c96371ba19de15c556c3b2ae375e9b,f5f8371ed5f0d261ddbc93a7f030596043c96371ba19de15c556c3b2ae375e9b,篡改密文后拒绝解密: InvalidTag
SM4 CBC,声音,音频.mp3,880639,880688,13.992,16.525,f5f8371ed5f0d261ddbc93a7f030596043c96371ba19de15c556c3b2ae375e9b,f5f8371ed5f0d261ddbc93a7f030596043c96371ba19de15c556c3b2ae375e9b,篡改密文后拒绝解密: ValueError
