algorithm,category,file_name,original_bytes,encrypted_bytes,encrypt_ms,decrypt_ms,original_sha256,restored_sha256,sensitivity_result
AES-256-CBC,文本,文本.txt,1348,1412,3.016,3.081,557c2b064f4f24091345eac98a441948ef9b71e6541e200dd88e98231f3aa18c,557c2b064f4f24091345eac98a441948ef9b71e6541e200dd88e98231f3aa18c,拒绝解密: ValueError
RSA-1024-OAEP-Hybrid,文本,文本.txt,1348,1544,3.152,5.817,557c2b064f4f24091345eac98a441948ef9b71e6541e200dd88e98231f3aa18c,557c2b064f4f24091345eac98a441948ef9b71e6541e200dd88e98231f3aa18c,拒绝解密: ValueError
SM4-CBC,文本,文本.txt,1348,1412,2.229,1.925,557c2b064f4f24091345eac98a441948ef9b71e6541e200dd88e98231f3aa18c,557c2b064f4f24091345eac98a441948ef9b71e6541e200dd88e98231f3aa18c,拒绝解密: ValueError
ZUC-128,文本,文本.txt,1348,1400,1.129,1.175,557c2b064f4f24091345eac98a441948ef9b71e6541e200dd88e98231f3aa18c,557c2b064f4f24091345eac98a441948ef9b71e6541e200dd88e98231f3aa18c,拒绝解密: ValueError
AES-256-CBC,文件,文件3.xlsx,12288,12356,28.185,27.672,08d9a6b8fdafe3a100189e7f168075c88fd68a02f8173fea67bc4542e2263343,08d9a6b8fdafe3a100189e7f168075c88fd68a02f8173fea67bc4542e2263343,拒绝解密: ValueError
RSA-1024-OAEP-Hybrid,文件,文件3.xlsx,12288,12488,27.444,30.223,08d9a6b8fdafe3a100189e7f168075c88fd68a02f8173fea67bc4542e2263343,08d9a6b8fdafe3a100189e7f168075c88fd68a02f8173fea67bc4542e2263343,拒绝解密: ValueError
SM4-CBC,文件,文件3.xlsx,12288,12356,16.526,16.2,08d9a6b8fdafe3a100189e7f168075c88fd68a02f8173fea67bc4542e2263343,08d9a6b8fdafe3a100189e7f168075c88fd68a02f8173fea67bc4542e2263343,拒绝解密: ValueError
ZUC-128,文件,文件3.xlsx,12288,12340,8.802,8.983,08d9a6b8fdafe3a100189e7f168075c88fd68a02f8173fea67bc4542e2263343,08d9a6b8fdafe3a100189e7f168075c88fd68a02f8173fea67bc4542e2263343,拒绝解密: ValueError
AES-256-CBC,文件,文件2.docx,604805,604868,1313.023,1360.552,f07a3fefb412f75cc4cafe0f35cdd33be3f7d2b48cf966a6c389cd5f54c1aa40,f07a3fefb412f75cc4cafe0f35cdd33be3f7d2b48cf966a6c389cd5f54c1aa40,拒绝解密: ValueError
RSA-1024-OAEP-Hybrid,文件,文件2.docx,604805,605000,1317.99,1366.834,f07a3fefb412f75cc4cafe0f35cdd33be3f7d2b48cf966a6c389cd5f54c1aa40,f07a3fefb412f75cc4cafe0f35cdd33be3f7d2b48cf966a6c389cd5f54c1aa40,拒绝解密: ValueError
SM4-CBC,文件,文件2.docx,604805,604868,794.67,802.859,f07a3fefb412f75cc4cafe0f35cdd33be3f7d2b48cf966a6c389cd5f54c1aa40,f07a3fefb412f75cc4cafe0f35cdd33be3f7d2b48cf966a6c389cd5f54c1aa40,拒绝解密: ValueError
ZUC-128,文件,文件2.docx,604805,604857,447.789,427.737,f07a3fefb412f75cc4cafe0f35cdd33be3f7d2b48cf966a6c389cd5f54c1aa40,f07a3fefb412f75cc4cafe0f35cdd33be3f7d2b48cf966a6c389cd5f54c1aa40,拒绝解密: ValueError
AES-256-CBC,声音,音频.mp3,880639,880692,1973.856,1999.018,f5f8371ed5f0d261ddbc93a7f030596043c96371ba19de15c556c3b2ae375e9b,f5f8371ed5f0d261ddbc93a7f030596043c96371ba19de15c556c3b2ae375e9b,拒绝解密: ValueError
RSA-1024-OAEP-Hybrid,声音,音频.mp3,880639,880824,1920.867,2009.518,f5f8371ed5f0d261ddbc93a7f030596043c96371ba19de15c556c3b2ae375e9b,f5f8371ed5f0d261ddbc93a7f030596043c96371ba19de15c556c3b2ae375e9b,拒绝解密: ValueError
SM4-CBC,声音,音频.mp3,880639,880692,1152.102,1143.745,f5f8371ed5f0d261ddbc93a7f030596043c96371ba19de15c556c3b2ae375e9b,f5f8371ed5f0d261ddbc93a7f030596043c96371ba19de15c556c3b2ae375e9b,拒绝解密: ValueError
ZUC-128,声音,音频.mp3,880639,880691,621.676,654.106,f5f8371ed5f0d261ddbc93a7f030596043c96371ba19de15c556c3b2ae375e9b,f5f8371ed5f0d261ddbc93a7f030596043c96371ba19de15c556c3b2ae375e9b,拒绝解密: ValueError
AES-256-CBC,文件,文件1.pdf,1666128,1666196,3765.749,3986.329,0ba0bad779cd61fdeb68666ddf20f256ccb77db7d7bdc5086b06a1fb8ec2d14e,0ba0bad779cd61fdeb68666ddf20f256ccb77db7d7bdc5086b06a1fb8ec2d14e,拒绝解密: ValueError
RSA-1024-OAEP-Hybrid,文件,文件1.pdf,1666128,1666328,3877.778,4140.584,0ba0bad779cd61fdeb68666ddf20f256ccb77db7d7bdc5086b06a1fb8ec2d14e,0ba0bad779cd61fdeb68666ddf20f256ccb77db7d7bdc5086b06a1fb8ec2d14e,拒绝解密: ValueError
SM4-CBC,文件,文件1.pdf,1666128,1666196,2413.889,2271.435,0ba0bad779cd61fdeb68666ddf20f256ccb77db7d7bdc5086b06a1fb8ec2d14e,0ba0bad779cd61fdeb68666ddf20f256ccb77db7d7bdc5086b06a1fb8ec2d14e,拒绝解密: ValueError
ZUC-128,文件,文件1.pdf,1666128,1666180,1235.722,1212.75,0ba0bad779cd61fdeb68666ddf20f256ccb77db7d7bdc5086b06a1fb8ec2d14e,0ba0bad779cd61fdeb68666ddf20f256ccb77db7d7bdc5086b06a1fb8ec2d14e,拒绝解密: ValueError
AES-256-CBC,视频,视频.mp4,13727092,13727156,31122.289,33513.343,8d03ea072c8bde35603de368521145c5f0b0ea567563958d6c0989820d68776a,8d03ea072c8bde35603de368521145c5f0b0ea567563958d6c0989820d68776a,拒绝解密: ValueError
RSA-1024-OAEP-Hybrid,视频,视频.mp4,13727092,13727288,33136.355,34486.616,8d03ea072c8bde35603de368521145c5f0b0ea567563958d6c0989820d68776a,8d03ea072c8bde35603de368521145c5f0b0ea567563958d6c0989820d68776a,拒绝解密: ValueError
SM4-CBC,视频,视频.mp4,13727092,13727156,18992.564,19357.067,8d03ea072c8bde35603de368521145c5f0b0ea567563958d6c0989820d68776a,8d03ea072c8bde35603de368521145c5f0b0ea567563958d6c0989820d68776a,拒绝解密: ValueError
ZUC-128,视频,视频.mp4,13727092,13727144,9928.38,9937.663,8d03ea072c8bde35603de368521145c5f0b0ea567563958d6c0989820d68776a,8d03ea072c8bde35603de368521145c5f0b0ea567563958d6c0989820d68776a,拒绝解密: ValueError
AES-256-CBC,图像,图片.jpg,18875778,18875844,44633.838,47279.575,04ad098b2d8faafe80f6afe131dec708d01a267dacd637aef5a201812e9b2eeb,04ad098b2d8faafe80f6afe131dec708d01a267dacd637aef5a201812e9b2eeb,拒绝解密: ValueError
RSA-1024-OAEP-Hybrid,图像,图片.jpg,18875778,18875976,43476.581,47865.354,04ad098b2d8faafe80f6afe131dec708d01a267dacd637aef5a201812e9b2eeb,04ad098b2d8faafe80f6afe131dec708d01a267dacd637aef5a201812e9b2eeb,拒绝解密: ValueError
SM4-CBC,图像,图片.jpg,18875778,18875844,24823.541,24462.555,04ad098b2d8faafe80f6afe131dec708d01a267dacd637aef5a201812e9b2eeb,04ad098b2d8faafe80f6afe131dec708d01a267dacd637aef5a201812e9b2eeb,拒绝解密: ValueError
ZUC-128,图像,图片.jpg,18875778,18875830,13316.293,13209.928,04ad098b2d8faafe80f6afe131dec708d01a267dacd637aef5a201812e9b2eeb,04ad098b2d8faafe80f6afe131dec708d01a267dacd637aef5a201812e9b2eeb,拒绝解密: ValueError
