Benchmark,Predictor,Branches,Mispredictions,MissRate,Accuracy
bzip2,nottaken_always,291920397,150111034,0.514219,0.485781
bzip2,taken_always,291920397,89499886,0.306590,0.693410
bzip2,bimod_1024,291920397,17246583,0.059083,0.940917
bzip2,bimod_512,291920397,17821449,0.061053,0.938947
bzip2,2lev_1_1024_8_0,291920397,15738291,0.053912,0.946088
bzip2,2lev_1_64_6_1,291920397,27184637,0.093123,0.906877
gcc,nottaken_always,733619772,329067178,0.448553,0.551447
gcc,taken_always,733619772,272017253,0.370788,0.629212
gcc,bimod_1024,733619772,61847215,0.084305,0.915695
gcc,bimod_512,733619772,73268194,0.099884,0.900116
gcc,2lev_1_1024_8_0,733619772,77924831,0.106233,0.893767
gcc,2lev_1_64_6_1,733619772,140283746,0.191220,0.808780
mcf,nottaken_always,171850882,71908587,0.418436,0.581564
mcf,taken_always,171850882,50163864,0.291903,0.708097
mcf,bimod_1024,171850882,8972184,0.052210,0.947790
mcf,bimod_512,171850882,9384725,0.054610,0.945390
mcf,2lev_1_1024_8_0,171850882,5748936,0.033454,0.966546
mcf,2lev_1_64_6_1,171850882,11582847,0.067407,0.932593

